,Janvier,Février,Mars,Avril,Mai,Juin,Juillet,Aout,Septembre,Octobre,Novembre
0,EUW1_5697047365,EUW1_5747768505,EUW1_5797885608,EUW1_5832114947,EUW1_5893371604,EUW1_5946522890,EUW1_5954168607,EUW1_6032966424,EUW1_6084406916,EUW1_6112441706,EUW1_6137136125
1,EUW1_5691273837,EUW1_5724403495,EUW1_5797790240,EUW1_5832005330,EUW1_5893285573,EUW1_5946440329,EUW1_5954221246,EUW1_6032881787,EUW1_6084349783,EUW1_6122839121,EUW1_6137090066
2,EUW1_5691127938,EUW1_5710233832,EUW1_5797830988,EUW1_5831830238,EUW1_5893210267,EUW1_5945206205,EUW1_5954127808,EUW1_6031429345,EUW1_6083012143,EUW1_6122825786,EUW1_6137045074
3,EUW1_5691060105,EUW1_5709653205,EUW1_5792853539,EUW1_5831893647,EUW1_5885828505,EUW1_5941186747,EUW1_5952818562,EUW1_6031435663,EUW1_6082292938,EUW1_6121844274,EUW1_6137008002
4,EUW1_5691083065,EUW1_5709572274,EUW1_5792788877,EUW1_5831777670,EUW1_5881525847,EUW1_5941160654,EUW1_5952754771,EUW1_6030700678,EUW1_6082002121,EUW1_6122570309,EUW1_6134995817
5,EUW1_5690443746,EUW1_5709445965,EUW1_5792737397,EUW1_5831763775,EUW1_5868393927,EUW1_5941044393,EUW1_5952667998,EUW1_6030559197,EUW1_6081939197,EUW1_6121849926,EUW1_6171434290
6,EUW1_5690328558,EUW1_5708290666,EUW1_5792754243,EUW1_5831801687,EUW1_5889599215,EUW1_5940329450,EUW1_5952722551,EUW1_6026992317,EUW1_6081808736,EUW1_6120388293,EUW1_6171394682
7,EUW1_5690299919,EUW1_5708105974,EUW1_5792688587,EUW1_5828398852,EUW1_5889657306,EUW1_5921083366,EUW1_5951467381,EUW1_5996122816,EUW1_6081875125,EUW1_6113001897,EUW1_6171336983
8,EUW1_5689196980,EUW1_5707781192,EUW1_5792644613,EUW1_5826942406,EUW1_5897653997,EUW1_5920989298,EUW1_5951442871,EUW1_5995998875,EUW1_6081532112,EUW1_6112966459,EUW1_6171276656
9,EUW1_5689046685,EUW1_5705572734,EUW1_5792662983,EUW1_5826888480,EUW1_5897580810,EUW1_5920946879,EUW1_5951210796,EUW1_5995944210,EUW1_6081520052,EUW1_6112213819,EUW1_6171220214
10,EUW1_5688396362,EUW1_5705467946,EUW1_5792032386,EUW1_5819785484,EUW1_5896700186,EUW1_5920991877,EUW1_5951116790,EUW1_6041695414,EUW1_6081544606,EUW1_6112118874,EUW1_6171186585
11,EUW1_5688390609,EUW1_5727468315,EUW1_5791851958,EUW1_5816779413,EUW1_5896659124,EUW1_5920848637,EUW1_5951112117,EUW1_6041648226,EUW1_6075775523,EUW1_6110934598,EUW1_6171131337
12,EUW1_5688326835,EUW1_5706008487,EUW1_5791765712,EUW1_5814068976,EUW1_5892870146,EUW1_5920915775,EUW1_5951057802,EUW1_6041605160,EUW1_6075127110,EUW1_6107756769,EUW1_6171087499
13,EUW1_5688281050,EUW1_5705859280,EUW1_5791721476,EUW1_5814136803,EUW1_5892284793,EUW1_5920418572,EUW1_5955698311,EUW1_6041498298,EUW1_6075040519,EUW1_6107678688,EUW1_6171029265
