,Blue Top,Blue Jungle,Blue Mid,Blue Carry,Blue Support,Red Top,Red Jungle,Red Mid,Red Carry,Red Support,Outcome
0,"['TripleBen', 'Nasus']","['Dark Memer', 'Zac']","['CroKette', 'Lux']","['ŃIRVANA', 'Kaisa']","['Bioniks1', 'Soraka']","['monkaS', 'Gangplank']","['N0EQUAL', 'Rengar']","['CG Kinneke', 'Yasuo']","['Bendåx', 'Ashe']","['Jonperi', 'Maokai']",Victoire des Rouges
1,"['but ok', 'Viego']","['Kanuera', 'Khazix']","['Meep Enjooyer', 'Viktor']","['tjfgx', 'Twitch']","['Vaati73', 'Yuumi']","['Lewite', 'Vayne']","['raymmondd', 'Nidalee']","['tuctuc1', 'Akali']","['qfxnhfzkl', 'Ezreal']","['Bingu', 'Thresh']",Victoire des Bleus
2,"['Lewite', 'Vayne']","['Lundqvistt', 'Volibear']","['Chieurdepatate', 'Swain']","['qfxnhfzkl', 'Twitch']","['spray em 50', 'Amumu']","['Sk8 The Infinity', 'Sejuani']","['ChemtrailsOverUs', 'Singed']","['Sekoiya', 'Yasuo']","['juicy ladyboy', 'Jinx']","['lοve too hard', 'Lulu']",Victoire des Bleus
3,"['PandaDogManPig', 'Aatrox']","['Tukki8', 'Zac']","['ASTROFISTER3333', 'Orianna']","['Timidt', 'Ashe']","['CLHB', 'Nautilus']","['Zegabon', 'Jayce']","['Age 3O Mechanics', 'Ekko']","['Lewite', 'Yasuo']","['qfxnhfzkl', 'Twitch']","['Elíte', 'Nami']",Victoire des Bleus
4,"['OverSharkt', 'Jayce']","['Nono144', 'Pantheon']","['FreeParking', 'Syndra']","['the høød', 'Draven']","['Hihi Haha Miau', 'Nami']","['lamygale4', 'DrMundo']","['FlexRankMatters', 'Nunu']","['MiriaelSabathiel', 'Xerath']","['Jokke', 'Twitch']","['NoIngameChatDiff', 'Janna']",Victoire des Rouges
5,"['dvdshadow', 'Quinn']","['KeeperofLolis', 'Sejuani']","['KasaiYowa ', 'Singed']","['Viper Jrr', 'Jinx']","['DefeaterPT', 'Janna']","['AC130 DEATHANGEL', 'Urgot']","['Bosklong', 'Khazix']","['MiriaelSabathiel', 'Leblanc']","['Spartac0uille', 'MissFortune']","['GAG0D', 'Blitzcrank']",Victoire des Rouges
6,"['Linus The Kench', 'TahmKench']","['Caddee59A', 'Belveth']","['MiriaelSabathiel', 'Leblanc']","['RANK 1 CODEX EUW', 'Twitch']","['spezi enjoyer 69', 'Janna']","['ramuld12', 'Sett']","['Ripple Overdrive', 'Khazix']","['ornnamental', 'Varus']","['Rennes 1 ', 'Kaisa']","['Jonperi', 'Nautilus']",Victoire des Rouges
7,"['0 10   yone feed', 'DrMundo']","['s7ptemb3r', 'Graves']","['Con161', 'Leblanc']","['ßĄLENCIAGÀ', 'Sivir']","['easiergone', 'Bard']","['MiriaelSabathiel', 'Shen']","['听音乐', 'Nidalee']","['sleep1o', 'Talon']","['ChrisZee', 'Jinx']","['KIaus grillt', 'Lulu']",Victoire des Bleus
8,"['Vσıd', 'Darius']","['MadFakerZ', 'Graves']","['8boy', 'Syndra']","['Maaxxoo', 'Kaisa']","['Impredictible', 'Amumu']","['Kunaeroje', 'Belveth']","['Rreivax', 'MonkeyKing']","['MiriaelSabathiel', 'Kassadin']","['kamè', 'Lucian']","['Macias 2115', 'Nami']",Victoire des Bleus
9,"['ice broken', 'Varus']","['Zheqowae', 'LeeSin']","['RZN Physik', 'Syndra']","['Animani', 'Caitlyn']","['fritzx', 'Zyra']","['MAD MAKS ', 'Yone']","['Sniping vys', 'Belveth']","['ECF Parsi', 'Viktor']","['MiriaelSabathiel', 'Ezreal']","['CRD Jonni', 'Bard']",Victoire des Bleus
10,"['OPS S1eep', 'Shen']","['Deztined', 'Hecarim']","['MiriaelSabathiel', 'Syndra']","['PaluPavueeeee', 'Caitlyn']","['Ipati Kiran', 'FiddleSticks']","['LeCaladbolg', 'Gnar']","['IvernGod', 'Ivern']","['kisîne', 'Cassiopeia']","['TTV Breddii', 'Jinx']","['IntingMachine666', 'Leona']",Victoire des Rouges
11,"['FUERZA A TOI', 'Maokai']","['hybrige', 'Diana']","['MiriaelSabathiel', 'Garen']","['º    Rekkles   º', 'Kaisa']","['WE L3MON', 'Pyke']","['normie is ok', 'Shen']","['3C6T32V4V462V451', 'Trundle']","['TINDER TERRORIST', 'Vex']","['iknowyouraddress', 'Lucian']","['LaVault', 'Nami']",Victoire des Bleus
12,"['Ring of Fortune', 'Tryndamere']","['Iove anime girls', 'Viego']","['Raksa Lalid ', 'LeeSin']","['jenm1', 'Varus']","['BuggeWong', 'Amumu']","['Its Really Hard', 'Jayce']","['Lilac  Lavend', 'Elise']","['MiriaelSabathiel', 'Leblanc']","['Undecleared', 'Zeri']","['Flaxiien ', 'Yuumi']",Victoire des Bleus
13,"['Lathonic', 'Garen']","['Wyndynevad', 'Lillia']","['MiriaelSabathiel', 'Lissandra']","['LUCΨFER', 'Draven']","['Batele', 'Nami']","['caonima de shabi', 'Ornn']","['Garkes', 'Graves']","['Behold', 'Zed']","['R0yals', 'Caitlyn']","['HAHAHAAHAXDXDD', 'Karma']",Victoire des Rouges
14,"['Polpko1', 'Chogath']","['Just Tarzan', 'Rengar']","['MiriaelSabathiel', 'Leblanc']","['SmiIedogjpg', 'Varus']","['BandOfPonies', 'Karma']","['Thanabodi', 'Pantheon']","['SirBerlinStyle', 'Volibear']","['Samuraï Lord', 'Yasuo']","['Alkoo', 'Ezreal']","['designscandal', 'Janna']",Victoire des Bleus
15,"['F1NAL ATTEMPT', 'Gnar']","['EGODEAΤH', 'Graves']","['MiriaelSabathiel', 'Vladimir']","['master500', 'MissFortune']","['Få mig ud', 'Renata']","['gicke', 'Malphite']","['ZERIS TOES', 'Nunu']","['SnowhiII', 'Annie']","['nvm adc bad role', 'Varus']","['III VLAD VOYVODA', 'Vi']",Victoire des Bleus
16,"['Miesmuschel', 'Camille']","['Coneguy', 'LeeSin']","['hrzzpg', 'Syndra']","['Maaxxoo', 'Caitlyn']","['Bob Minion', 'Amumu']","['codein abuser', 'Riven']","['GØD ØF ØBLIVIØN', 'Elise']","['MiriaelSabathiel', 'Mordekaiser']","['Ua Ho11y', 'Lucian']","['AcuteSalami', 'Maokai']",Victoire des Rouges
17,"['RED DRAGENN', 'Jax']","['MLN Tactic', 'Mordekaiser']","['Quannela', 'Vex']","['Meliodas77', 'Draven']","['WE JoJo', 'Sona']","['french plyenslip', 'Pantheon']","['fart like tent', 'Udyr']","['MiriaelSabathiel', 'Leblanc']","['Sicksnowy', 'Kaisa']","['Kalipsto Kun', 'Soraka']",Victoire des Rouges
18,"['detderT fanboy', 'Aatrox']","['Crossover1', 'MasterYi']","['MiriaelSabathiel', 'Ahri']","['Ruin3d King', 'Kaisa']","['BioForgeX', 'Taric']","['Athor LaMontagne', 'Graves']","['KY5 Foppa', 'Ivern']","['Immy', 'Leblanc']","['sex haver', 'Aphelios']","['SwL Marrouu', 'Karma']",Victoire des Rouges
19,"['StevStev99', 'Sejuani']","['Nihiro', 'Talon']","['Djfubxea', 'Cassiopeia']","['Nemám Mozεk', 'Caitlyn']","['WaterCuashe', 'Senna']","['Nascent Top', 'Irelia']","['TrL Erixarm', 'Ekko']","['MiriaelSabathiel', 'Lissandra']","['deft 7', 'Draven']","['Kilian yeah', 'Renata']",Victoire des Rouges
20,"['Aminatoooo', 'DrMundo']","['adio league', 'Shyvana']","['SWEelle', 'Varus']","['stealthyx', 'Seraphine']","['xBen Dover', 'Ashe']","['ThePandaHybrid', 'Gnar']","['Kaymakchalan', 'Taliyah']","['MiriaelSabathiel', 'Akali']","['C0ffeeMachine', 'Twitch']","['MeKkozZ', 'Bard']",Victoire des Rouges
21,"['BL Rhyno', 'Pantheon']","['Taba1', 'Trundle']","['flostars', 'Zoe']","['Gagaga Cowboy', 'Kaisa']","['Spiyx', 'Rell']","['yuicat3', 'Poppy']","['emirlol2', 'LeeSin']","['MiriaelSabathiel', 'Kassadin']","['Rispy', 'Sivir']","['fish tech', 'Janna']",Victoire des Rouges
22,"['FallWind', 'Aatrox']","['Ararma', 'Olaf']","['Dennen', 'Kassadin']","['hisham v9', 'Draven']","['Dumb Fat Neek', 'Bard']","['Ryan5idee', 'Sion']","['Unholy Spirit ', 'Belveth']","['MiriaelSabathiel', 'Mordekaiser']","['Aloy', 'Jhin']","['Evelynn', 'Yuumi']",Victoire des Rouges
23,"['Laast Dance', 'Irelia']","['MA MF EST PXXL', 'Maokai']","['bad at tft', 'Akshan']","['4eS Pocat', 'MissFortune']","['CK Astral', 'Amumu']","['DuraxNeverFlames', 'Darius']","['Clarken', 'LeeSin']","['MiriaelSabathiel', 'Leblanc']","['JeIIay', 'Karthus']","['SzawełDobryczłek', 'Senna']",Victoire des Bleus
