Winrate_Blue_Top,Games_Blue_Top,Winrate_Blue_Jungle,Games_Blue_Jungle,Winrate_Blue_Mid,Games_Blue_Mid,Winrate_Blue_Carry,Games_Blue_Carry,Winrate_Blue_Support,Games_Blue_Support,Winrate_Red_Top,Games_Red_Top,Winrate_Red_Jungle,Games_Red_Jungle,Winrate_Red_Mid,Games_Red_Mid,Winrate_Red_Carry,Games_Red_Carry,Winrate_Red_Support,Games_Red_Support,Outcome
52.9,522.0,70.0,10.0,53.8,199.0,47.9,48.0,50.0,16.0,60.1,271.0,56.5,69.0,75.0,4.0,14.3,7.0,47.8,46.0,True
52.9,522.0,54.4,57.0,59.0,100.0,57.1,7.0,52.6,19.0,53.8,691.0,50.0,10.0,55.4,1761.0,50.3,143.0,37.5,16.0,True
,,66.7,3.0,56.2,477.0,50.3,143.0,37.5,16.0,52.6,643.0,52.4,1006.0,59.3,177.0,37.5,16.0,33.3,15.0,True
52.6,643.0,56.6,76.0,,,50.3,143.0,37.5,16.0,50.0,6.0,54.4,171.0,60.0,10.0,57.1,14.0,,,False
37.5,8.0,54.9,82.0,,,57.1,7.0,47.8,46.0,54.6,875.0,53.2,124.0,56.4,307.0,52.5,244.0,65.4,26.0,True
51.1,45.0,40.0,5.0,59.8,117.0,21.4,14.0,52.1,73.0,46.6,73.0,,,56.7,194.0,52.0,75.0,54.9,530.0,False
,,,,58.7,75.0,59.8,117.0,16.7,6.0,50.0,2.0,,,56.6,143.0,,,75.8,33.0,False
55.4,213.0,0.0,1.0,48.1,27.0,63.2,209.0,56.7,233.0,53.8,26.0,50.7,73.0,58.7,75.0,59.8,117.0,66.7,6.0,False
50.0,4.0,41.7,12.0,58.7,75.0,59.8,117.0,56.3,144.0,62.8,78.0,48.9,703.0,65.7,67.0,60.0,15.0,75.0,4.0,False
25.0,4.0,55.7,287.0,58.3,103.0,0.0,1.0,54.5,11.0,59.6,265.0,75.0,28.0,80.0,5.0,59.8,117.0,56.1,66.0,False
60.3,353.0,,,44.8,29.0,59.8,117.0,33.3,3.0,41.8,165.0,55.4,251.0,48.5,272.0,,,60.0,10.0,True
51.1,879.0,40.0,10.0,57.4,61.0,52.6,19.0,0.0,2.0,,,50.7,73.0,59.7,196.0,59.8,117.0,51.4,35.0,False
55.9,395.0,47.6,42.0,56.5,177.0,59.8,117.0,50.9,326.0,26.7,15.0,,,59.7,196.0,51.4,1591.0,57.6,33.0,True
,,14.3,7.0,47.8,23.0,59.8,117.0,50.9,171.0,57.1,7.0,55.6,27.0,68.4,38.0,54.5,407.0,50.0,6.0,False
54.0,200.0,53.8,13.0,56.6,83.0,54.7,53.0,28.6,14.0,100.0,3.0,41.7,12.0,57.9,420.0,59.8,117.0,57.8,90.0,False
25.0,4.0,42.9,7.0,30.8,13.0,49.3,69.0,50.0,20.0,85.7,7.0,100.0,1.0,59.8,117.0,100.0,1.0,54.6,713.0,False
55.6,304.0,66.7,3.0,33.3,3.0,59.8,117.0,61.5,26.0,50.0,4.0,37.5,8.0,66.7,15.0,61.5,26.0,60.6,71.0,False
49.9,682.0,26.8,41.0,52.4,21.0,50.0,16.0,60.1,271.0,16.7,6.0,61.1,18.0,51.0,580.0,59.8,117.0,58.3,12.0,True
49.9,682.0,0.0,1.0,58.3,12.0,59.8,117.0,56.2,73.0,43.8,16.0,58.4,370.0,53.5,43.0,58.8,34.0,50.0,20.0,False
52.8,354.0,57.9,133.0,61.4,1180.0,45.9,270.0,26.3,19.0,16.7,6.0,25.0,4.0,56.0,605.0,59.8,117.0,55.0,333.0,True
66.7,12.0,25.0,8.0,20.0,5.0,59.8,117.0,51.8,438.0,51.0,241.0,30.0,10.0,33.3,15.0,44.4,18.0,58.8,17.0,True
66.7,15.0,58.0,181.0,51.3,39.0,55.2,116.0,78.6,14.0,50.0,8.0,51.5,489.0,50.2,876.0,59.8,117.0,49.7,298.0,True
62.3,53.0,53.2,408.0,67.4,89.0,71.0,31.0,80.0,5.0,44.4,18.0,55.7,341.0,37.5,8.0,59.8,117.0,48.6,35.0,True
100.0,4.0,53.7,374.0,59.6,272.0,59.8,117.0,50.6,87.0,40.0,10.0,68.8,32.0,50.0,342.0,,,0.0,1.0,True
28.6,14.0,52.9,905.0,33.3,3.0,75.0,4.0,58.1,31.0,30.0,10.0,100.0,2.0,60.4,106.0,59.8,117.0,70.0,10.0,False
44.4,27.0,50.0,64.0,44.1,59.0,59.5,42.0,50.0,16.0,44.7,38.0,54.4,79.0,49.4,415.0,59.8,117.0,48.4,31.0,False
25.0,4.0,40.5,37.0,60.0,40.0,59.8,117.0,55.6,9.0,28.6,14.0,53.0,268.0,,,58.7,213.0,48.3,29.0,True
50.0,10.0,53.0,462.0,58.7,75.0,59.8,117.0,100.0,1.0,0.0,1.0,52.3,235.0,51.9,478.0,25.0,8.0,50.0,6.0,True
50.0,2.0,57.1,21.0,51.4,1063.0,68.2,22.0,51.5,435.0,62.5,48.0,,,80.0,5.0,100.0,2.0,33.3,9.0,False
60.9,64.0,68.6,35.0,80.0,5.0,59.8,117.0,71.4,28.0,53.4,116.0,43.6,101.0,53.2,79.0,50.0,2.0,58.8,34.0,True
52.3,260.0,60.5,43.0,58.7,75.0,59.8,117.0,60.0,10.0,52.2,23.0,,,,,56.3,32.0,48.5,66.0,True
53.1,96.0,33.3,6.0,58.7,75.0,59.8,117.0,54.6,302.0,42.9,7.0,50.0,38.0,42.9,7.0,50.0,34.0,45.8,24.0,True
61.1,18.0,56.3,16.0,80.0,5.0,59.8,117.0,27.3,11.0,69.7,33.0,58.1,43.0,56.0,50.0,44.4,9.0,100.0,1.0,False
50.0,4.0,57.6,85.0,58.7,75.0,59.8,117.0,49.3,73.0,0.0,1.0,53.0,83.0,25.0,4.0,44.4,9.0,100.0,2.0,True
44.4,90.0,59.6,104.0,58.7,75.0,59.8,117.0,88.9,9.0,53.8,403.0,62.0,92.0,34.6,26.0,42.9,7.0,55.8,163.0,True
35.7,14.0,58.8,17.0,56.5,46.0,68.6,35.0,48.4,62.0,0.0,1.0,53.3,15.0,44.9,49.0,59.8,117.0,45.5,11.0,True
75.0,12.0,60.0,105.0,100.0,1.0,57.1,21.0,56.5,46.0,53.4,384.0,55.2,163.0,46.2,52.0,59.8,117.0,58.5,41.0,True
44.4,18.0,62.5,8.0,57.1,14.0,52.0,294.0,,,63.6,33.0,52.4,143.0,50.0,2.0,59.8,117.0,52.3,44.0,True
