,Blue Top,Blue Jungle,Blue Mid,Blue Carry,Blue Support,Red Top,Red Jungle,Red Mid,Red Carry,Red Support,Outcome
0,"['aoi hana', 'Fiora']","['Shadοws I Zed', 'Kayn']","['JMGG Druust', 'Syndra']","['Ciêspie', 'Nilah']","['DOS2 Best game', 'Sona']","['Jag är Benim', 'Irelia']","['PASTIR S 4 OVCE', 'Hecarim']","['skipi16', 'Taliyah']","['TPR Lexion', 'Xayah']","['ŃIRVANA', 'Lulu']",True
1,"['aoi hana', 'Fiora']","['PASTIR S 4 OVCE', 'MonkeyKing']","['Lazernik', 'Syndra']","['Goldenorange', 'Caitlyn']","['HighLikeTheSky', 'Rakan']","['KR0NN1K', 'Garen']","['Nîghtingale', 'Rammus']","['Kibbylol', 'Vladimir']","['TPR Lexion', 'Ezreal']","['ŃIRVANA', 'Yuumi']",True
2,"['RedyycsOnTwitter', 'Sejuani']","['DFTO Tales', 'Shaco']","['PikaZZ', 'Zed']","['TPR Lexion', 'Ezreal']","['ŃIRVANA', 'Yuumi']","['ArmandhI', 'Tryndamere']","['Hamsalak', 'Vi']","['Rescar', 'Sylas']","['HalloweenBucket', 'Caitlyn']","['LePère2Famille', 'Morgana']",True
3,"['ArmandhI', 'Tryndamere']","['Never Achiever', 'JarvanIV']","['20 06 05', 'Cassiopeia']","['TPR Lexion', 'Ezreal']","['ŃIRVANA', 'Yuumi']","['OgivoIs', 'Rammus']","['CURSED KILLER', 'Sejuani']","['Skôr', 'Viktor']","['DG Terryblade', 'Kaisa']","['MVP FunnyFuFuuu', 'Nautilus']",False
4,"['LOKINS', 'Renekton']","['blue s0laris', 'Maokai']","['Nate Hegro', 'Diana']","['Billy Billyson', 'Twitch']","['ŃIRVANA', 'Lulu']","['SWALLOWMYRUNE', 'Ryze']","['CLOWN ΙRL ', 'Khazix']","['Nisuro1', 'Talon']","['DIABL0II', 'Kaisa']","['PePs', 'Rakan']",True
5,"['yqaziy', 'Renekton']","['TianWDominate', 'Nidalee']","['Lewite', 'Yasuo']","['Cunnilingus4u', 'Aphelios']","['TSRH Matze', 'Janna']","['DOG doggy woof ', 'Gangplank']","['Ape Wishing Pain', 'Rengar']","['Rejisorin', 'Vladimir']","['ibap', 'Draven']","['Evil Rawr', 'Yuumi']",False
6,"['Trzewikodziób', 'Ryze']","['nevesuteuddau', 'Ekko']","['qfxnhfzkl', 'Twitch']","['Lewite', 'Yasuo']","['SauronLive', 'Yuumi']","['Fiskeren Kai', 'Riven']","['Leyarada Fan Acc', 'Khazix']","['Aziring', 'Azir']","['BoNezCruSher53', 'Tristana']","['MP4 File Format', 'Sylas']",False
7,"['Jeuhy', 'Nasus']","['LE BEAU STEACKOS', 'Amumu']","['nn Fei', 'Varus']","['MaJhin Adc', 'Jhin']","['ZIZIZAK', 'Swain']","['Qeerol', 'Darius']","['V9 Kitechu', 'Kindred']","['qfxnhfzkl', 'Twitch']","['Lewite', 'Yasuo']","['tellienomnom', 'Chogath']",False
8,"['River Yi ONLY', 'Singed']","['Commit Apoptose', 'Graves']","['qfxnhfzkl', 'Twitch']","['Lewite', 'Yasuo']","['Shallya', 'Janna']","['cpnnehxu', 'Aatrox']","['PetitCornichonIV', 'LeeSin']","['GΘD Δ', 'Qiyana']","['Mirilion', 'Samira']","['tallcatholic', 'Nautilus']",False
9,"['Xadarsir', 'Garen']","['IRob1nI', 'Zac']","['TheKoreal', 'Akali']","['XiaTian', 'Samira']","['DavaDoo', 'Nami']","['BiSettPtine', 'Sett']","['ThørnyS', 'MonkeyKing']","['qfxnhfzkl', 'Kayle']","['Lewite', 'Yasuo']","['cerise321', 'Lulu']",False
