,Summoner ID
0,zcIDc81ls-pmJFCUO6acjPLtzO3G0mHBDb-FQMO-HZ1lM8Ra
1,nRHMygxa16fFUqgsgyvW6vmBSyaXtEis0avFIrMFFPt0lF0W
2,HHKp0lulBgCTuX_Yj5wR4LoFq97CUuiB0ss45oz0J9vHWO-v
3,2aaaJqiQSmYl51wtlBeKy9ICLmODD-r898T11i26lHtQmNFh
4,bNTrWRUnT1eDl3cd6uQy8j0ExSgyHaswyumnsSNdCg-J_OSc
5,h211ewKLtV2xG_zvcICuXM08nMBagTN1ChRTtgAGTBuXnWAr
6,jIJtpxNAwUW30MZbpyhdyW6W517gdLq0mEc3f_k3yffhLM6M
7,QN1P8bMegf9HiGbA8ebiDmNsk3RVS5ggZF3FqJig8TooWmnM
8,wg5kJWvsYnbJqWKwoaTGXQycFHCqiD9L5mYssML82PPRTDuU
9,UIkA5v8JmFF-Nvnrl7uhEddpg9yP9mo3r2y5bfW25FdEpXk3
10,-pgKBbeRSz7qj1YlHAGQ5TtU0ekzpRV3IQK8bSMm_kxak2lT
11,mJtHW_6eMlMTTYqD4B1VKCiokF9j_V7rntt_Go3k1KSNkghN
12,JrClMB4N54MopUkUiOnZTMyRe9ith-F0pSBBP5EB2EfjyERH
13,90pZigNRGfQgipXvcKghbdX2UlIgXXZMBpt5z_0l0l4AnFuM
14,GdFdjbPPzPbWYs1vbrqBgK8jKoCGeUcNSjRINgq0kOH5pYof
15,xU8PsTfkwchLXmIsZC77D-WGRfiO38DKKb0Xdk-k2Ht7oJGM
16,akypdWb4oSqHIXcZUhooQng4YCoieSY6SZZLSJprepu0DK2P
17,cxsHRk-c5xVJANB9NIo1i5j1G9B478gqGnZBTcyg31FedB1E
18,o-1-T4BkiOAYY4E7I8r5KTs53zs6BcV0j8ItwBw6eqPL-Ur9
19,xBWudr33Y62qRNMuk8Scka-XizbOSGA2Zl_OuaNfaINWxhSI
20,gpXiO0BLrJQIrIJ1ghBdoHdoqLeHVYAaTJrJx4OHYEtgzwsX
21,UMoKnWHn4ozVJmajRMSy_2z07g1TPZAXRmw_r7Vf_qvSFO5P
22,0zEyUxUzifsIAbY4qWxZ-oW5hvcdESzU25mMKn3bpcr97jYp
23,HMbxtOCEQSRrlxGeIWWUhc0-lBUwksyppX5-pzN_Je_YHysx
24,-eZehyKNvupfqBIkSYIyiJwj5KB09ORYnVRhtn1ENFA6Oics
25,AHfjVRYgPl_p_ysn7nb_LCL6efp5z2QbESB8cwIuR7wL3Uq-
26,oOpAQ2dRospyWLLjoMPx8z_m3cp7i32sl14ZyMyda1k2OfgB
27,JQOM5lG4jLCVWw8TjBRV5d00o2eJrXUJB67nJcus1TktBspO
28,cOYOC2KiaW-Aw85NX4Ov1pIB6lgApsePu99A5OzxlxcO-zZx
29,xdKsi5kHsgvW2npklcZgg_HIR6S8gWDubdq65A42TqakGbLu
30,0ji0fj3k5tufPVcKtE_K_oUh6RsAsKlhh6zqrAlT7ncRR5Xy
31,jy9vMix0aiWV5D_6mlE2yPOzXeEej0-SnNnoc3zYW04HlJ2S
32,C5_z25yt3BuRC1Dh1Ni9pBH82_LQMjlbH9eyp0--EyWjdQ6R
33,x3409RYcF38FlIcnbRi23m3wzpQEQ3t6nuDKG7iBJ64cIj5R
34,vLTrMDDHOL7C0-YYfUtGSb47U-QdCFhz1S_J9zrCh8VOOeVZ
35,rCAVgc5Xnh5C5ebz8YOTnx9bd8gazhNOwucpfsCopy-mmiks
36,xdZKPNN-kd2xWEzjdi29GrUHxp8qZMdTOCsAbBwi4t7J6LA5
37,z-ss86CIpKgyhlVrJGfZd-c5fcZGHdj5P1SYA6H5v2QYBSt2
38,7bBTPdLmjkDrNvWGQMYY-8v-rGGDp7-GzWuWf0MMNLEsRX0w
39,BPvw0ldY5LS9AJObYwMnqqT0mkvJS6vXQPVcAbGaZ4FrEpAv
40,kVfh1vkHWIiNSGrk4b9pyWZUpAt1O8m70T2eBQHZAVYMpsu-
41,91azmaB4R2wpBcCcvemt83eVIgOI3ovoZzVFHKzKwmbhtXb_
42,t3wnGhFwH7v4pCacs37YGKgSYtC5XT1YjdlsA1I457flnKXG
43,eqxbgEbNNDWfvmP_tZ_4FNS6qg5HRpzINLmqmeuEmGJlKjR9
44,lU9rkQf-ZOwA7esn4xIWrhMjtWPRYppjAQ-fIX5RK3Ger1-k
45,fdIpf74rMYsEPrWzkPEZyvbbu3OeI89D_bW8W2BpBgNNU85p
46,cb9owcub3a857AWbRFhqrU9KTgu89TeWoLcEh8NnksVb3d8I
47,_o2kXuaK7iKLRuhL0CynlLho6b7hLxJRm6CQYCdSyxLCq3AN
48,hnovpEfy4dQihGoU2FAby5gxL120uEQ6DR3_aCjjH9aCeCXb
49,V2xQYyIw3PqQJfaoWpEsLpIRNHAHQwqn3gyuIHC4m2DJ9pf8
50,zY2PjISz1TEQSSpYM12xpOowaWQaCchlMmgzVLYkRd9MGgtG
51,wOh5e-EsGGtWWHDI7DEoEU2Rjueozik4Vr6ZdjSU0u73kyh9
52,MtbO_ymDsRThJDFm1HJ8vS3ARg4miaVbCrRTGBssBRqCZyOy
53,fq9X--R-7AmkxYarAqXmf3dq0QTnF5QbNmpl8A08hqQcim9C
54,0k2audsc_4u0vkhj0L4Kno58ESAGjXo5FG_RvSN0FRhngrDk
55,roaIsgzAw5yD0JYTsHoh1-eTt0rOlzazaSwGM1rUnf4x4ftV
56,BFXB08nw6BQNiuoxLprbt1DS_LYblyYsx_c-lRq3ZHO4zUSW
57,kRr5e9DI0miaKDvz8BNosMkJ2J6hIclMJz3oJJL76jp5pRtL
58,V4qR1BgA2z3uPhhZ0AtK-g_wwseCVdYYA4Bi48GeF_q0U3gY
59,6l189pTvC0dKwatO3DHihDn9EnF4gjLiAMoMHsBE8rvo8zkF
60,nlYYln_p7qoHQcis91V-qXlPwY4nUieYq3NncC34geQcZr2p
61,ibhRKo2jmAiiXV1OaRPXPv2jQz3zBe-Prl2MUMy10U0xDujN
62,yViaig_UbmqT2MqAKuMkN_s1NIC2p86i53AxQ8geS_RlP5S7
63,SMy9fmXpIU5YLg4AreBG3bNJoDuRZssKWHsZEL8958BqExX_
64,yB2R6Kd7iib6pPlD6uPaSNf8ZVkr-63WLcGJAcCfEzUZ-rSL
65,hBLjMwT1WO6U_lO8--xn-dUiP_7_Dt3rJbT-zFLxLPwFlBgm
66,KKiQcZc06tN__xVXtiOvbuoBwwnt7-UZU-TkLHPdiO13bdnU
67,4p2FOXeGdtMXKY1Y-k-tTnxMi6ZSyd3Rw8oIDeoSk1n5EAbd
68,r_pJXeYr8cclWheUGxEen8vM_qyfylsWivc-NxZIfgWuElO0
69,Qz7DiPk6HvE7cmQ3GQ1ubSMhLDr0XAKhlIUV6o2AMJxkrBlD
